caliber,type,effect,price,unitofsale,weight,per,availability
7.2mm,FMJ,-,2,30,4g,40,5
7.2mm,AP,"-1 dmg, +4 AP",4,30,4g,40,4
7.2mm,Hot Load,"+1 dmg, +4 AP, +15 on hearing checks to identify the shooter's position",12,30,4g,40,3
7.2mm,Hot AP,"+10 AP, +15 on hearing checks to identify the shooter's position",16,30,4g,40,3
7.2mm,JSP,"+2 dmg, -3 AP",4,30,4g,40,4
7.2mm,JHP,"+4 dmg, -6 AP",8,30,4g,40,3
7.2mm,Cold Load,"-3 dmg, -3 AP, -15 on hearing checks to identify the shooter's position",5,30,4g,40,4
7.2mm,Cold AP,"-4 dmg, -15 on hearing checks to identify the shooter's position",5,30,4g,40,3
7.2mm,Cold JSP,"-6 AP, -15 on hearing checks to identify the shooter's position",8,30,4g,40,3
7.2mm,Cold JHP,"+2 dmg, -8 AP, -15 on hearing checks to identify the shooter's position",10,30,4g,40,3
7.2mm,Incendiary,"-2 AP, will ignite flammable materials hit",8,30,4g,40,3
7.2mm,Rubber Rounds,"-10 dmg, 0 AP, Stun (2), every hit against the target's head reduces it's initiative by D5-1",2,30,4g,40,4
7.2mm,Shock,"-4 dmg, -5 AP, Stun (4), EMP",25,5,4g,40,2
7.2mm,Tracer,grants a +10 bonus to hit for others shooting at the same target during this turn,2,5,4g,40,4
11.8x45mm,FMJ,-,3,20,22g,40,5
11.8x45mm,AP,"-1 dmg, +4 AP",6,20,22g,40,4
11.8x45mm,Hot Load,"+1 dmg, +4 AP, +15 on hearing checks to identify the shooter's position",18,20,22g,40,3
11.8x45mm,Hot AP,"+10 AP, +15 on hearing checks to identify the shooter's position",24,20,22g,40,3
11.8x45mm,JSP,"+2 dmg, -3 AP",6,20,22g,40,4
11.8x45mm,JHP,"+4 dmg, -6 AP",12,20,22g,40,3
11.8x45mm,Cold Load,"-3 dmg, -3 AP, -15 on hearing checks to identify the shooter's position",8,20,22g,40,4
11.8x45mm,Cold AP,"-4 dmg, -15 on hearing checks to identify the shooter's position",8,20,22g,40,3
11.8x45mm,Cold JSP,"-6 AP, -15 on hearing checks to identify the shooter's position",12,20,22g,40,3
11.8x45mm,Cold JHP,"+2 dmg, -8 AP, -15 on hearing checks to identify the shooter's position",15,20,22g,40,3
11.8x45mm,Incendiary,"-2 AP, will ignite flammable materials hit",12,20,22g,40,3
11.8x45mm,Rubber Rounds,"-10 dmg, 0 AP, Stun (2), every hit against the target's head reduces it's initiative by D5-1",3,20,22g,40,4
11.8x45mm,Shock,"-4 dmg, -5 AP, Stun (4), EMP",38,5,22g,40,2
11.8x45mm,Tracer,grants a +10 bonus to hit for others shooting at the same target during this turn,3,5,22g,40,4
6.3mm,FMJ,-,4,40,8.6g,30,5
6.3mm,AP,"-1 dmg, +4 AP",8,40,8.6g,30,4
6.3mm,Hot Load,"+1 dmg, +4 AP, +15 on hearing checks to identify the shooter's position",24,40,8.6g,30,3
6.3mm,Hot AP,"+10 AP, +15 on hearing checks to identify the shooter's position",32,40,8.6g,30,3
6.3mm,JSP,"+2 dmg, -3 AP",8,40,8.6g,30,4
6.3mm,JHP,"+4 dmg, -6 AP",16,40,8.6g,30,3
6.3mm,Cold Load,"-3 dmg, -3 AP, -15 on hearing checks to identify the shooter's position",8,40,8.6g,30,4
6.3mm,Cold AP,"-4 dmg, -15 on hearing checks to identify the shooter's position",10,40,8.6g,30,3
6.3mm,Cold JSP,"-6 AP, -15 on hearing checks to identify the shooter's position",8,40,8.6g,30,3
6.3mm,Cold JHP,"+2 dmg, -8 AP, -15 on hearing checks to identify the shooter's position",14,40,8.6g,30,3
6.3mm,Incendiary,"-2 AP, will ignite flammable materials hit",16,40,8.6g,30,3
6.3mm,Rubber Rounds,"-10 dmg, 0 AP, Stun (2), every hit against the target's head reduces it's initiative by D5-1",4,40,8.6g,30,4
6.3mm,Shock,"-4 dmg, -5 AP, Stun (4), EMP",50,5,8.6g,30,2
6.3mm,Tracer,grants a +10 bonus to hit for others shooting at the same target during this turn,4,5,8.6g,30,4
