name,effect,price,slots,powered,weight
Ablative Coating,"A heat dispersing coat, layered upon the armor, that increases armor against laser and other heat-based weaponry by 20%.",40,1,N,0.6 kg
Auto-Injector,"On the press of a button, detection of a certain type of stress or a similar trigger, this mod introduces a prepared dosage of an injection-type chemical into the wearer's bloodstream. Can hold up to 3 cartridges.",24,1,N,0.8 kg
Auto-Loader,"A reload assistance system added to the outer thighs which halves reload times for magazine-fed pistols (without the \emph{Single Loader} rule). When present on both legs, this will allow reloading both guns while dual wielding. ",14,1,N,1.2 kg
Booster Sheath,"A melee weapon can be draw from this sheath in a free action. When combined with Quick Draw a weapon draw from this sheath can be combined with one non-flurry attack as a free action. When the armor mod is also powered, this attack gains 4 damage.",24,1,N,1.4 kg
Brace Assist,The character may brace as a free action. Moving still stops bracing.,34,2,N,2.6 kg
CBRN (Helmet),"A hazard prevention system containing a CBRN unit, rebreather and redundancies for each subsystem.",112,2,N,1.4 kg
Cigarette Lighter Adapter,Adds an outlet to light cigarettes on.,3,1,Y,0 kg
Deafen Suppressor,Grants +20 to tests to resist deafening and disorientation. Grants -5 to auditory perception.,18,1,N,0.2 kg
Discardable Plate,"Adds an outer layer that can be discarded easily. Useful when on fire or drenched in acid. When hit by a weapon with \emph{Rending}, the plate is destroyed, but the armor is unharmed. ",12,1,N,1.4 kg
Energy Rotella,Projects a small shield over the user's arm that can be used to cover one location in addition to the arm it's attached to. Has 12 armor and a threshold of 7.,50,1,Y,1.1 kg
Faraday Cage,Reduces EMP duration by 8 rounds and grants +30 to resist electricity-related Stun rules.,62,1,N,18.8 kg
Final Hour Chip,"Once the wearer's vital signs cease, the armor self-destructs violently, dealing damage like a 40mm thermite grenade, except with a 6m Blast radius instead. Requires a vital monitor.",170,0,Y,0.1 kg
Flare Launcher,Turns Vehicle Lock-on bonuses into penalties. Has 3 flares and takes a minute to refill. ,48,3,Y,2.1 kg
Flash Visor,Adds flash glass goggles to the helmet.,31,1,N,"0,6 kg"
Flashlight,"Adds a flashlight and its related bonuses, without the need to use your hands. Hitting the location the active flashlight is attached to is at no penalty for low light or location. ",65,1,N,1.1 kg
Ghillie,"Adds a Ghillie Cloak to the armor, offering a +20 Bonus to Camouflage when used in matching surroundings.",6,0,N,1.5 kg
Grappling Hook,"Adds a reusable grappling hook to the armor. Works like an integrated crossbow using grappling hook ammunition.\\ This is a very niche upgrade, as the grappling hook requires power but can only hold up to 250 kg of weight.",55,1,Y,5.9 kg
HUD,"Adds a heads up display to the helmet visor. Can be wired to display basically any device, but does not come with input peripherals.",4,1,N,0.8 kg
Inertia Dampeners,"A marvel of technology allowing rapid changes in velocity. Fall damage is reduced and the Trauma rule is ignored. Depending on the situation this may have other bonuses, e.g. in fast vehicles.",189,3,Y,26 kg
Tacpad,Adds a data pad the the armor's forearm.,22,1,N,1.1 kg
Integrated Weapon,Any one-handed melee or pistol type weapon can be affixed to an arm. Pistols now use Ranged Combat Training (Integrated Weaponry). One-handed melee weapons may use Melee Combat Training (Striking) or their normal skill depending on how they are installed.\\ Removes the Inconspicuous rule.,weapon + 10%,1,N,weapon +10%
Intercom,An inbuilt communication device using very strong encryption. Different intercoms need to be grouped at a computing device equipped for the task before being able to communicate among each other safely.,28,1,N,0.2 kg
