group,name,flavor_text,shots,damage,ap,range,mag,ammo,reload,special_rules,price,weight
Pistol,Obsidian Bull,A hand cannon fed from a cylinder.,1,2D10+8,1,25,6,11.8x45mm,1,Reliable; Single Loader,50,"1,7"
Pistol,Wasteland Condor,A powerful handgun with an extremely heavy cartridge.,1,2D10+8,1,25,7,11.8x45mm,2,,50,"1,9"
Pistol,Amber Bull,A revolver made to fire low caliber rounds.,1,2D10+3,0,20,8,7.2mm,1,Reliable; Single Loader,30,"0,5"
Pistol,M10,"A small, low caliber, semiautomatic pistol. Very light and decently easy to conceal.",1,2D10+3,0,20,9,7.2mm,1,,30,"0,6"
Pistol,mOP-3,"A hand-sized 20mm, breech loading, grenade launcher.",1,-,-,20,1,20mm grenade,4,"Damage, AP and effects depend on ammunition; 10m minimum arming distance",40,"1,3"
Pistol,Little Lucifer,"A one-handed liquid propellant. While it is knows as a flame thrower, it can be used for all fueled spray weapons.",5,1D10+2,0,12,5,small fuel tank,8,Flame; Scatter; Spray,80,"1,6"
Pistol,OH-VLS,"A small laser pistol. Adjustable, conceilable and lightweight.",2,1D10+10,1,35,16,small fuel cell,4,Adjustable,70,"0,6"
Pistol,Newton Pistol Mk2,The smallest mass drivers ever built. Shoots very small metal fragments.,2,1D10+2,8,30,30,small shard block,8,,95,"2,1"
Pistol,Newton Pistol Mk5,A forearm-sized magnetic accelerator shooting metal fragments.,1,1D10+2,12,35,30,small shard block,8,,110,"2,6"
Pistol,Mk1 Shock Pistol,A modified taser. Very much lethal.,1,2D5,0,20,8,small fuel cell,5,EMP; Stun (4),50,"0,4"
Pistol,Scattershock,A wide-arcing shock pistol.,2,3D5,0,15,6,small fuel cell,5,Scatter; EMP; Stun (3),80,"0,6"
Short Rifle,MS Shotgun,A double-barrel shotgun with shortened barrels to facilitate pellet spread.,1,2D10+3,1,40,2,12gauge,2,Reliable; Scatter; Single Loader,25,3
Short Rifle,SBAR-22,A rifle caliber fired from a short system. Warning: only buy this if you don’t own a dog!,3,2D10+2,6,50,30,6.3mm,4,,110,"3,5"
Short Rifle,MP15,A pistol caliber fired from a small rifle frame.,4,2D10+3,1,30,25,7.2mm,3,,65,"2,8"
Short Rifle,Thumper,A small CQC grenade launcher meant for utility grenades. Exists as an under barrel version for rifles.,1,-,-,40,1,20mm grenade,4,"Damage, AP and effects depend on ammunition; 10m minimum arming distance",70,"4,8"
Short Rifle,OH-VLS Conversion,A conversion kit to turn an OH-VLS into a small laser carbine.,3,1D10+12,1,70,16,small fuel cell,5,Adjustable; Flame; Upgrade (OH-VLS),140,"2,8"
Short Rifle,Newton Pistol Repeater,A conversion kit for low powered Newton Pistols to increase fire rate.,4,1D10+3,12,45,30,small shard block,8,Upgrade (Newton Pistol Mk2),140,"3,6"
Short Rifle,Junk Jet,A small mass driver with increased bore and decreased barrel length to achieve shotgun-like ballistics.,1,2D10+2,8,35,6,small shard block,3,Scatter,170,"4,2"
Short Rifle,Crossbow,"A medieval weapon with a trigger, accelerating sharp sticks.",1,1D10+4,0,50,1,crossbow bolt,6,Silenced; ignores PES,25,3
Short Rifle,Scattershock Conversion,"A conversion kit for the Scattershock to feed from larger fuel cells. Increases size, mag size and range.",2,3D5,0,25,16,medium fuel cell,5,Scatter; EMP; Stun (3); Upgrade (Scattershock),125,"2,1"
Long Rifle,AR-22,A full-sized but basic rifle.,3,2D10+3,11,70,30,6.3mm,6,,150,"3,8"
Long Rifle,M282 SSW,"A bulky, belt-fed fire support weapon with high ammunition capacity.",6,2D10+3,11,70,120,6.3mm,14,Bulky,220,7
Long Rifle,Mk3 Tankgewehr,"An insanely high-caliber, long barrel rifle made to fight heavy armor. Carries a lot of energy of comparatively small distances.",1,3D10+3,30,220,1,15x132mm,10,,210,"16,6"
Long Rifle,A3R,"The ""Makar Advanced Anti-Armor Rifle"": A long range rifle made to take out high value targets or light armor. Not an overly clever name but don’t tell the snipers.",1,2D10+7,18,800,5,11.8x112mm,6,,210,12
Long Rifle,M5 Shotgun,A scattergun with a tube magazine firing multiple pellets per shot.,2,4D5+6,4,80,8,12gauge,2,"Single Loader, Scatter",130,"3,8"
Long Rifle,OP-2,A 20mm single shot grenade launcher with increased barrel length.,1,-,-,50,1,20mm grenade,4,"Damage, AP and effects depend on ammunition; 10m minimum arming distance",60,"1,9"
Long Rifle,Rathalos,"A flame thrower with an integrated tank to profit from familiar, proven rifle ergonomics.",5,2D10+4,0,35,15,medium fuel tank,8,Flame; Scatter; Spray,120,4
Long Rifle,BR-56,A semiautomatic laser rifle.,2,1D10+18,3,500,10,medium fuel cell,12,Adjustable,230,"4,3"
Long Rifle,Incinerator Rifle,A long range laser rifle. Instead of piercing through armor it burns it away.,1,2D5+30,4,700,1,large fuel cell,16,Adjustable; Flame,220,"9,7"
Long Rifle,M4 Silver Crow,"A handheld, semi automatic mass driver. Very powerful but decently mobile.",2,2D10+4,22,550,16,large shard block,10,,180,"11,2"
