name,cost,cr,int,ins,ch,dex,ag,con,str,itemize:other_modifiers,itemize:skills,itemize:abilities,abilitycostoverride,itemize:boons,booncostoverride,itemize:banes,banecostoverride,flavor_text,Example equipment,Notes
Academic,13,,5,,,,,,,,Logic +3;Survival+1;one Education +3;another +2;another +1,Natural Geek,,,,,,Formerly educated in a single or many different things this character mainly knows a lot of things but might lack in the necessary skills to apply them properly.,,
Bodyguard,7,2,,,,,,2,2,,one Ranged Combat Training +2: ::b:: \item Pistol \item Short rifle ::e::;One armed Melee Combat Training +2;one Combat Training +1: ::b:: \item Striking \item Grappling ::e::;Perception +1;One Drive +2;a fitting Navigation +2,,,,,,,Sworn to protect this character is versed in how to identify and eliminate threats to another person.,,
Bouncer,3,,,,2,,,2,,,Combat Training (Striking) +2;Combat Training (Grappling) +2;Intimidation +2;Interrogation +1;Restraint +1,,,,,,,This character was employed to stop intrusions. Usually this happens rather peacefully but if necessary this might include force as well.,,
Child Soldier,12,5,,,-5,,,5,,,Ranged Combat Training (Pistol) +1;any Ranged Combat Training +2;another +2;one Melee Combat Training +2;one Melee Combat Training +1: ::b::\item Striking \item Grappling ::e::;Educations: ::b::;Command +1;Fortification +1 ::e::,Broken,,Tough As Nails,,Ignorant (Horrors of war) 40,4,"Naturally born children are far cheaper than vatgrown soldiers but, if trained correctly, can be just as effective. These children are raised mentally scarred but very efficient and disciplined killing machines.",,
Courier,8,,,,,,5,,,,Athletics +2;Acrobatics +2;Dodge +1;One of the following +2: ::b:: \item any Drive \item any Pilot ::e::;Stealth +2,Flip Up,,,,,,"Delivering packages in the darker parts can be easier said than done. It takes precision, cunning and obviously a fit pair of legs. Such a character knows the darkest secrets of his city and those secrets are safe with him.",,
Doctor,7,,3,,,3,,,,,Appeal +1;Bio-Maintenance +3;Perception +1;Restraint +2,Stabilization,,,,,,A medical professional is always welcome. He has learned not just first aid but may also be capable of performing surgery.,,
Driver,7,,,5,,,,,,,One Drive +2;One of the following +3: ::b:: \item another Drive \item any Pilot ::e::;One fitting Navigation +2;Restraint +2,,,,,,,Professionally trained in the art of moving a vehicle. She keeps her calm in stressful situations and gets her contractor from point A to B safely.,,
Engineer,5,,5,,,,,,,,Estimation +1;Logic +1;Educations: ::b::;Construction +3;Mechanics +2;any other +1 ::e::,,,,,,,"Constructing buildings is incredibly important, people who understand how to are vital to society.",,
Escort,4,,,,5,,,,,,Appeal +3;Deception +1;Interrogation +1;Restraint +2,,,,,,,"Capable of talking through almost every situation and usually chosen for their looks, such people managed to turn their bodies and tongues into money.",,
Fence,6,,,2,2,,,,,,Appeal +1;Deception +2;Sleight of Hand +2;Education: Commerce +3,,,Good Reputation 2,4,,,"Stolen goods are not terribly uncommon, one just needs to know where to sell them to. Some of those fences are even capable of stealing their own goods.",,
