name,cost,prerequisites,effect
MVR: Attack of Opportunity,150,"Instinct 30, Agility 30",Allows the use of the maneuver \emph{Attack of Opportunity} at normal penalties.
MVR: Bind,200,"Instinct 35, Dexterity 35",Allows the use of the maneuver \emph{Bind} at normal penalties.
MVR: Burst,200,"Dexterity 30, Strength 35",Allows the use of the maneuver \emph{Burst} at normal penalties.
MVR: Called Jab,100,"Maneuver: Feint, Perception Known",Allows the use of the maneuver \emph{Called Jab} at normal penalties.
MVR: Charge,100,"Maneuver: Knockdown, Agility 40",Allows the use of the maneuver \emph{Charge} at normal penalties.
MVR: Cleave,100,"Maneuver: Knockdown, Courage 40, Instinct 40",Allows the use of the maneuver \emph{Cleave} at normal penalties.
MVR: Crushing Blow,300,"Maneuver: Powerstrike, Courage 50, Strength 60",Allows the use of the maneuver \emph{Crushing Blow} at normal penalties.
MVR: Disarm,100,"Maneuver: Feint, Maneuver: Bind",Allows the use of the maneuver \emph{Disarm} at normal penalties.
MVR: Feint,200,"Dexterity 35, Agility 35",Allows the use of the maneuver \emph{Feint} at normal penalties.
MVR: Flurry,100,"Maneuver: Feint, Dual Wield (Melee)",Allows the use of the maneuver \emph{Flurry} at normal penalties.
MVR: Intercept,100,"Maneuver: Bind, Courage 50",Allows the use of the maneuver \emph{Intercept} at normal penalties.
MVR: Knockdown,100,"Maneuver: Powerstrike, Strength 45",Allows the use of the maneuver \emph{Knockdown} at normal penalties.
MVR: Piercing Thrust,300,"Maneuver: Called Jab, Courage 40, Dexterity 40",Allows the use of the maneuver \emph{Piercing Thrust} at normal penalties.
MVR: Powerstrike,200,Strength 35,Allows the use of the maneuver \emph{Powerstrike} at normal penalties.
MVR: Reversal,300,"Maneuver: Intercept, Courage 60, Instinct 50",Allows the use of the maneuver \emph{Reversal} at normal penalties.
MVR: Shift,100,"Maneuver: Feint, Instinct 40, Dexterity 35, Agility 35",Allows the use of the maneuver \emph{Shift} at normal penalties.
MVR: Stunning Blow,100,"Maneuver: Powerstrike, Intelligence 35",Allows the use of the maneuver \emph{Stunning Blow} at normal penalties.
MVR: Takedown,100,"Maneuver: Feint, Agility or Strength 40",Allows the use of the maneuver \emph{Takedown} at normal penalties.
