name,variant,cost,flavor_text,cr,int,ins,ch,dex,ag,con,str,itemize:other_modifiers,itemize:skills,itemize:abilities,itemize:boons,itemize:banes,itemize:traits,itemize:usual_backgrounds,itemize:disallowed_backgrounds,picture_path
Pure,,0,"The average human lives in overcrowded, artificially lit megacities dominated by towering corporate skyscrapers and pervasive surveillance. Most people work repetitive jobs for powerful megacorps or hustle in the shadows, navigating a life of constant economic struggle and societal decay.",25,25,25,25,25,25,25,25,,,,,,,any,,
Trans-species,Generic,1,"Trans-species humans have changed their bodies to resemble a humanoid version of some animal. Roughly every decade a new wave of trans-species humans rises in pop culture, looked upon suspiciously from all those that are not part of the movement themselves.\\These changes come with qualities and drawbacks related to the animal in question, as well as general physical weakening and sterility.",22,22,36,22,22,22,22,22,one except Instinct +5,Perception +2,,Big Spender 2;Outstanding Sense (any one),Second-class Citizen,,Gambler;Laborer;Performer;Wastelander;Academic;Shark;Soldier,,
Trans-species,Avian,3,A human that has undergone surgery and gene therapy to attain some bird-like features. Generally that is good eyesight but it might also encompass a feather coat.,22,22,35,22,22,30,22,22,,Perception +1;Survival +1,,Nimble;Outstanding Sense (Sight),Second-class Citizen,,Courier;Driver;Gambler;Laborer;Performer;Wastelander;Academic;Shark;Soldier,,
Trans-species,Canine,1,"A human that through gene therapy and surgery has attained dog-like features. These are cosmetic changes and an outstanding sense of smell.\\	These types of people are generally more obedient after their transformation. Due to this and their sharp senses, they are often employed by private investigators.",25,22,35,30,20,25,20,22,,Perception +2,,Outstanding Sense (Smell),Second-class Citizen;Slave Mentality 20,,Gambler;Investigator;Laborer;Performer;Wastelander,Academic;Shark;Soldier,
Trans-species,Castorimorpha,3,"A human that through gene therapy and surgery has attained beaver-like features. These are some cosmetic changes, an affinity for swimming and a more agile but weaker body.",22,25,30,25,20,30,25,22,,Swimming +1,,Diver's Lung;Nimble,Second-class Citizen,,Laborer;Performer;Wastelander,Academic;Shark;Soldier,
Trans-species,Elf,0,"Among all trans-species transformations this is by far the most expensive and complicated, due to how difficult creating the necessary material is. However due to the very fine process, some who undergo the procedure may keep just a small part of their fertility. They are also by far the least looked down upon.",22,25,28,25,25,28,20,20,,Acrobatics +1;Appeal +1,,Outstanding Sense (any one);Looker,,,Escort;Laborer;Performer;Wastelander;Child Soldier;Mercenary;Soldier,,
Trans-species,Feline,6,"The oldest form of trans-species humans, someone that has undergone gene therapy to attain some cat-like features. They come to see very well in the dark and gain a superior sense of balance.\\However they also become playful and particularly dislike hard or dirty work, which is why of all trans-humans they are likely the most trafficked, usually just as status symbols.",20,25,35,25,25,30,22,20,,Acrobatics +1,,Balance;Dark Vision,Second-class Citizen;Vanity 20,,Escort;Laborer;Performer;Wastelander,Academic;Shark;Soldier,
Trans-species,Piscean,3,"By far the rarest form of trans-species humans, these people have acquired some fish-like attributes. The skin is covered in scales, the breathing can partially be substituted by gills.",22,22,30,22,22,30,22,22,,Perception +1;Swimming +2,,Dark Vision;Diver's Lung;Natural Armor 2,Second-class Citizen,,Gambler;Laborer;Performer;Wastelander,Academic;Soldier,
Trans-species,Reptilian,1,"Sometimes regarded as the odd one out even among trans-species, these people chose to gain reptilian qualities like scales, an inclination to climb and even higher reflexes than other trans-humans.\\While other trans-species might pass as some sort of costume, these changes are absolutely unmistakable.",22,22,38,20,20,25,25,20,,Climbing +1;Perception +1,Overly Cautious,Natural Armor 4,Second-class Citizen;Impaired Sense (Touch),,Gambler;Laborer;Performer;Wastelander,Academic;Shark;Soldier,
Trans-species,Ungulate,0,"Through gene therapy and surgery this person has taken on cow-like features. Most of the changes are of cosmetic nature, but most of them are tougher than the average human.\\Likely for both of those reasons these people are often employed as cheap workforce for dangerous, exhausting jobs.",22,22,30,22,22,22,30,28,,Perception +1,,Poison Resistance,Second-class Citizen,,Gambler;Laborer;Performer;Wastelander,Academic;Shark;Soldier,
Vat-grown,Adaptive,26,"Artificially grown, these humans are created to serve a single person or institution for generally a single purpose. They are superior to normal humans in almost every way, except they usually intentionally lack some creative thought and can't reproduce due to how unique their genetic material is.\\They don't strive to raise in social classes or to improve their living situation much due to inbuilt programming and are very obedient unless their master wishes specifically for creative thought.",28,28,28,28,28,28,28,28,any two +4,,,3 levels between: ::b:: \item Adaptable Circulation \item Nerves of Steel ::e::,Slave Mentality 25,,,Child Soldier;Orphan;Shark,
Vat-grown,Biocomputer,24,"Created with incredible intelligence they are grown to serve as generals, advisers and assistants. The only limit to their incredible intellect is usually jokes.",30,40,30,25,25,25,25,25,,two Educations +2;one Educations +1,,,Slave Mentality 25,,Academic;Hacker,Child Soldier;Orphan;Shark,
