skill,subtype,difficulty,key,common_characteristic,short_description,long_description,itemize:example_eds
Acrobatics,,Basic,acrobatics,Agility,Control over one's body and the ability to move elegantly,"The mastery of body movement - flipping over rooftops, squeezing through vents, and breaking falls to die another day.",
Animal Handling,,Basic,animals,Charisma,"Interaction with animals; calming them down, taming and training them","Calming, taming, training anything from pets and drones mimicking organic behavior to escaped lab experiments and the feral beasts of the wastelands.",Hippology;Taming
Appeal,,Basic,appeal,Charisma,Any attempt to charm or convince someone that at least outwardly happens in good blood,"Charming, seducing and manipulating those of lesser mind. The key is being subtle and they’ll be none the wiser.",Corpo Etiquette;Religion
Athletics,,Basic,athletics,Strength,"Lifting, pushing, running, jumping; anything built on directed strength","A display of pure strength, be it scaling arcos, tearing open doors, or dying to radiation rather than drowning in the wasteland waters.",Climbing;Swimming
Bio-Maintenance,,Advanced,medication,Intelligence / Dexterity,Knowledge about anatomy and healing of biological bodies,The skill of applying anatomical and biochemical knowledge. Mostly used to keep people alive.,Chemistry;Anatomy
Craftsmanship,,Advanced,crafting,Dexterity,Making stuff,"Any creative handiwork falls here - from making makeshift equipment or shelter, up to mixing chems and even augsmithing.",Smithing;Tailoring
Deception,,Basic,deceive,Charisma,Telling lies,"Lies and half-truths made believable. Passing as someone else, passing something as something else - often an easy way out of or deeper into a bad situation.",Law;Voice Athlete
Dodge,,Basic,dodge,Agility,Evading attacks by moving out of the way,"Dodging is physically evading harm. This can be an attack, an explosion, or something more natural like falling objects or sudden vehicles.",
Drive,Air,Advanced,drive-air,Agility,Operating flying vehicles,"The knowledge of how to control - and, more importantly, safely land - airborne vehicles like planes, helis and VTOLs.",VTOL mechanics;Meteorology
Drive,Aquatic,Advanced,drive-sea,Agility,Operating a boat or similar vehicle,"Expertise in controlling motorboats and submersibles, how they work and how to get them to move in a desired direction.",Hydrodynamics;Meteorology
Drive,Ground,Advanced,drive-ground,Agility,"Operating cars, bikes, tanks","If self-driving fails or a car is hotwired, the character still knows to handle herself – even at speed, under pressure, under fire.",Bike Racing;Electronics
Drive,Space,Advanced,drive-space,Agility,Operating spacecraft,"Controlling spacecraft is incredibly tricky - due to getting a feel for orbital mechanics, absurd speeds and lack of friction among other factors, this task is often relegated to AI.",Orbital Mechanics;Rocket Science
Estimation,,Basic,estimate,Instinct,"Quickly guessing amounts, weight, size, distance and more","The ability to guess amounts, weight, size, distance or prices, to name a few, with relative accuracy. Usually this is only necessary outside of one’s comfort zone - a gunsmith estimating a revolver's price might not necessarily need this.",Statistics;Trading
Interrogation,,Basic,interrogation,Instinct,Asking the right questions and understanding the opposition,"Asking the right questions and reading facial expressions, eye movement, voice tone to determine truth or lie or anything in between.",Fear;Social Engineering
Intimidation,,Basic,intimidation,Courage,Threatening others to avoid actually having to go through with the threat,The art of skillfully threatening others to avoid actually having to go through with the threat – preying on fear to keep you alive.,Fear;Law
Logic,,Advanced,logic,Intelligence,Combine knowledge and work with patterns,"Logic is the ability to dissect, combine, extract information rationally and quickly, or detect patterns where others do not.","any Education, if the goal is testing knowledge in that field"
Navigation,Air,Basic,nav-air,Intelligence / Instinct,Finding one's way in a certain environment,"Navigation in the air is difficult and relies on good sense of both distance and direction. It may be easier when sun, moon, stars or large landmarks on the ground are visible.",Geography;Air Traffic Control
Navigation,Ground,Basic,nav-ground,Intelligence / Instinct,Finding one's way in a certain environment,Navigation on the ground is the most common type of navigation. It helps finding one's way on foot or in earthbound vehicles.,Geography;Parkour
Navigation,Sea,Basic,nav-sea,Intelligence / Instinct,Finding one's way in a certain environment,Navigation on the sea relies on reading maps and a compass. It is possible to make good educated guesses by using celestial bodies as well.,Geography;Marine Biology
Navigation,Space,Basic,nav-space,Intelligence / Instinct,Finding one's way in a certain environment,Navigation through the void of space without equipment is almost impossible due to how vast space is. This skill represents finding the shortest and safest path given such instruments.,Geography;Astronomy
Navigation,Underground,Basic,nav-underground,Intelligence / Instinct,Finding one's way in a certain environment,"Navigating through underground complexes is quite difficult, as there are very few landmarks. It requires good memory or a map and good sense of distance.",Geography;Civil Engineering
Perception,,Basic,perception,Instinct,Perceiving things and noticing details,"A nose for the fine details, an eye for the interesting. Sharp senses are key to staying alive.",
Performance,,Advanced,performance,Agility / Charisma,Forms of artistic expression,"Performance is any form of performing art - dancing, singing, theatre, just to name a few. A core skill for any idol and other stars ready to burn up.",Ballroom;Voice Athlete
Quaffing,,Advanced,quaffing,Constitution,Drinking to your heart's desire,"Quaffing, getting wrecked, hammered, tanked, any of the above - this represents the ability to hold one’s liquor.",
Restraint,,Basic,restraint,Courage / Constitution,The ability to push through pain and strong emotions,"Discipline and self-control - suppressing impulses, resisting fear, or enduring pain and psychological warfare.",Fear;Pain
Sleight of Hand,,Basic,sleightofhand,Dexterity,"Card tricks, pickpocketing, lockpicking; anything requiring both delicate fingers as well as good distractions","Any task that requires delicate fingers and a good distraction, from card tricks to pickpocketing. Picking locks is part of this skill as well.",Locksmithing;Stage Magic
Stealth,,Basic,stealth,Intelligence / Agility,Hiding things or oneself,"Vanishing into the dark, immersing into a crowd, disappearing into the unknown - hiding is a tried and true form of increasing one’s longevity.",
Survival,,Basic,survival,Instinct / Dexterity,"Finding food, building shelter and the most basic, improvised equipment","A catchall for any skill required for wasteland survival: finding something edible and clean water, building improvised shelters and the most basic equipment.",Herbalism;Zoology
Wirewalk,,Advanced,wirewalk,Intelligence,Using computers and computer-like interfaces to their fullest,Wirewalk means interacting with cybersystems and the nets - anything from finding gigs in the Deep to entering corpo structures.,Cryptography;Statistics
Melee Combat Training,Grappling,Basic,melee-grapple,Melee Base,Skill with a certain group of melee weapons,"Grappling is unarmed or assisted close quarters combat that mainly acts to change positions in combat, be that throwing the enemy on the floor, a table or off a balcony, climbing a very large foe, or getting the enemy into a lock.",
Melee Combat Training,One-handed Blade,Basic,melee-ohblade,Melee Base,Skill with a certain group of melee weapons,"Fighting with cutting implements - usually swords, the kings of melee weapons, or axes, likely the most useful tool since the dawn of tools.",
Melee Combat Training,One-handed Club,Basic,melee-ohclub,Melee Base,Skill with a certain group of melee weapons,"Clubs are any and all blunt weapons with some sort of shaft: hammers, maces, the humble stick.",
Melee Combat Training,One-handed Thrusting,Basic,melee-knife,Melee Base,Skill with a certain group of melee weapons,"Knife fighting involves short, bladed and pointy implements. These can be proper combat knives or improvised weapons like kitchen knives or shards of glass.",
Melee Combat Training,Striking,Basic,melee-strike,Melee Base,Skill with a certain group of melee weapons,"Striking is the unarmed discipline concerned with short, fast body contact to induce blunt force trauma, be that punches, knees, kicks or headbutts. This may be assisted using fist knives or brass knuckles.",
Melee Combat Training,Two-handed Blade,Basic,melee-thblade,Melee Base,Skill with a certain group of melee weapons,"Much like knives swords are bladed, generally pointy implements, only longer. This grants an advantage in reach and damage potential, but is less suitable for swinging in close quarters.",
Melee Combat Training,Two-handed Club,Basic,melee-thclub,Melee Base,Skill with a certain group of melee weapons,"Large, blunt objects have historically been very effective. They are also easily improvised.",
Melee Combat Training,Two-handed Thrusting,Basic,melee-spear,Melee Base,Skill with a certain group of melee weapons,"Long stabbing implements like spears and sharp pipes. Good point control requires both hands, but they offer great reach and penetrative power.",
Melee Combat Training,Whip,Basic,melee-whip,Melee Base,Skill with a certain group of melee weapons,"Whips as a category encompass every weapon that flexes: actual whips and crops, but also flails and nunchucks, even though those weapons have drastically different fighting styles. ",
Ranged Combat Training,Bow,Basic,ranged-bow,Ranged Base,Skill with a certain group of ranged weapons,"Bows require a flexing shaft and a string which is pulled using one's back muscle and, when released, will shoot an element at whatever it was pointed at. Even with pulley systems it requires a lot of physical fitness.",
Ranged Combat Training,Heavy Weapon,Basic,ranged-heavy,Ranged Base,Skill with a certain group of ranged weapons,"Explosive launchers encompass rocket and grenade launchers, mortars and anything else that propels large high-explosives at an enemy. This also helps estimate explosion radii and colleteral damages.",
Ranged Combat Training,Integrated Weaponry,Basic,ranged-integrated,Ranged Base,Skill with a certain group of ranged weapons,Weaponry built into armor or implants - being controlled via L1NC - requires specialized training to use effectively.,
Ranged Combat Training,Launcher,Basic,ranged-launcher,Ranged Base,Skill with a certain group of ranged weapons,"Launchers throw large, usually explosive projectiles at an enemy. They are decently heavy and generally require a specialized soldier.",
Ranged Combat Training,Long rifle,Basic,ranged-rifle,Ranged Base,Skill with a certain group of ranged weapons,"Long rifles are anything firing high-power charges accurately over great distances. Long barrels, scopes and bipods can make these weapons cumbersome for everyday life.",
Ranged Combat Training,Pistol,Basic,ranged-pistol,Ranged Base,Skill with a certain group of ranged weapons,"Pistols are easily conceilable, fire low-power charges and, if absolutely necessary, can be fired with one hand.",
Ranged Combat Training,Short rifle,Basic,ranged-smg,Ranged Base,Skill with a certain group of ranged weapons,"Short rifles is a catchall term for anything that is not cumbersome like a long rifle but not as small and low-powered that it is very easily conceilable or able to be fired with one hand. This includes small shotguns, submachineguns and short barrel rifles.",
