name,Group,flavor_text,difficulty_social,difficulty_combat,hit_locations,size,hp,armor,avg_armor,cr,int,ins,ch,dex,ag,con,str,melee,range,itemize:skills,sum:combat_skills,sum:social_skills,itemize:traits,positive_traits-negative_traits,weapons,avg_raw_dmg
Infected Creature,Cerberus,"A creature that has been recently infected by the Cerberus fungus. The body's capability is changed by roughly the same amount, making especially swarms of small pests incredibly dangerous.",,0,,,150%,Natural Armor (+2),2,0,-10,0,-10,0,0,5,5,2,-2,,0,,"CERBERUS, MODIFIER,natural weapons gain Infection special rule",2,,1
Infected Plant,Cerberus,"If a plant gets infected, its expected lifetime is reduced to but a few more weeks. However during that time any part of the plant that is eaten will infect the creature.",,0,,,150%,,0,,,,,,,,,,,,0,,CERBERUS,1,,0
Infector Worm,Cerberus,An arm sized worm made from leftover biomass given life to by the invasive fungus known as Cerberus. Mainly exists to infect other creatures through bites or through exploding into a massive cloud of spores.,,1,Worm,Puny,66%,,0,10,10,10,10,5,5,10,10,12,12,,0,,"ANIMAL, CERBERUS, VOLATILE,movement speed of 1m/s,melee attacks ignore non-sealed armor,does not explode if set on fire",2,"Bite (D5+2; 0 AP; Infection),Death explosion (D10+1; 1 AP; Blast; Spray; Smoke; Infection)",6
Malformed Creature,Cerberus,A creature whose body was torn and malformed by a very long lasting Cerberus infection. Their outward appearance alone is known to kill people from shock and their claws may be powerful enough to break through doors.,,1,,,150%,Natural Armor (+2D5),6,5,-5,0,-15,-5,5,15,15,8,2,,0,,"CERBERUS, MODIFIER,natural weapons gain Infection special rule",2,a biological equivalent of any melee weapon,10
Pure Infection Form,Cerberus,A large amount of biomass may be combined in Cerberus hives to create Pure Infectors. These behemoths are not only incredibly dangerous on their own but also incubate infection worms in a big sac on their back that can be released at will.,,10,"Hexaped, headless",Hulking,250%,Natural Armor (24),24,80,45,45,5,55,55,85,85,88,77,Intimidate Mastered,0,,"CERBERUS,releases 2D10 infector worms when threatened,has three turns in combat",2,"claws and tentacles (2D10, 8 AP, Rending)",24
Addict,Civilian,"Many homeless addicts roam the ghettos. They are easily provoked - some by words, some by expensive looking chrome alone.",2,3,Human,Average,100%,,0,30,30,30,30,30,30,30,30,40,40,"Chemistry Untrained,Commerce Untrained,Deceive Known,Dodge Known,Quaffing Untrained,One Melee Combat Training Known",1,0,DRUGGED,1,a cheap conceilable or improvised weapon,9
Body Guard,Civilian,"Trained and equipped, these are not people generally assaulted intentionally - and for good reason. There are a lot of records of body guards overstepping their boundaries and almost as many of them getting away.",4,4,Human,Average,100%,Flak Vest,2,38,30,35,30,30,30,35,35,46,43,"Athletics Known,Dodge Trained,Interrogation Known,Intimidation Known,Medication Known,Perception Known,Restraint Trained,Security Known,One Melee Combat Training Trained,One Ranged Combat Training Known",5,4,,0,"any pistol or short rifle,a conceilable melee weapon",10
Bouncer,Civilian,"The people tasked with protecting clubs are recruited from places best kept secret, barely anyone is the high society they are protecting. That makes them rough, tough and easily manipulable.",3,4,Human,Average,100%,Stab Vest,2,35,30,35,28,30,35,35,35,47,43,"Dodge Trained,Interrogation Known,Intimidation Trained,Medication Known,Perception Known,Restraint Known,One Melee Combat Training Trained,One Ranged Combat Training Known",5,4,,0,"a pistol,stun stick,knife",10
Laborer,Civilian,"The average Joe. Tough, bored and not particularily brilliant.",3,2,Human,Average,100%,,0,28,25,28,28,35,28,35,35,40,41,any 5 Known,0,2,,0,improvised,6
Gang Boss,Gangster,"A leader without much education but with comparatively much money, allowing decent equipment and some chrome.",5,4,Human,Average,100%,"Civilian PES, Armored Suit or Flak Vest",2,38,38,32,32,30,30,32,32,44,44,"Appeal Trained,Command Trained,Commerce Untrained,Intimidation Trained,Philosophy Untrained,Restraint Trained,Any two Combat Trainings Trained",4,8,,0,"a conceilable ranged weapon,a conceilable or ornate melee weapon",12
